"time","new.core.id","depth_bottom","sample.type","interval","pool_label","id","species","d15n","n_pct","d13c","c_pct","total_volume_cm3","depth_top","sample.type2","g_core"
"t4","DS06",2,"dead biomass","0_2","dead biomass 2cm","DS06-dead biomass 2cm","DS",495.3957771,0.009919388,-15.53656979,0.358361332,157.08,0,"dead biomass",3.416
"t4","DS06",2,"fine roots","0_2","fine roots 2cm","DS06-fine roots 2cm","DS",5386.557139,0.012761622,-14.73360735,0.311780977,157.08,0,"fine roots",0.06
"t4","DS06",2,"rhizomes","0_2","rhizomes 2cm","DS06-rhizomes 2cm","DS",1424.322769,0.013001481,-14.93122924,0.322259138,157.08,0,"rhizomes",0.532
"t4","DS06",5,"coarse roots","2_5","coarse roots 5cm","DS06-coarse roots 5cm","DS",3973.7505,0.010501053,-14.5870739,0.330386324,235.619,2,"coarse roots",0.19
"t4","DS06",5,"dead biomass","2_5","dead biomass 5cm","DS06-dead biomass 5cm","DS",802.5252356,0.008108671,-14.47101545,0.362105764,235.619,2,"dead biomass",16.066
"t4","DS06",5,"fine roots","2_5","fine roots 5cm","DS06-fine roots 5cm","DS",5973.781011,0.011128453,-14.65925863,0.326206535,235.619,2,"fine roots",0.12
"t4","DS06",5,"rhizomes","2_5","rhizomes 5cm","DS06-rhizomes 5cm","DS",1191.901548,0.008413905,-15.07552655,0.342026264,235.619,2,"rhizomes",3.2158
"t0","DS14",30,"bulk sediment","20_30","bulk sediment 30cm","DS14-bulk sediment 30cm","DS",2.948603981,0.01435,-15.15455755,0.179455302,785.398,20,"bulk sediment",159.432
"t4","DS06",10,"dead biomass","5_10","dead biomass 10cm","DS06-dead biomass 10cm","DS",29.85723271,0.008990174,-14.33600106,0.366317829,392.699,5,"dead biomass",24.066
"t4","DS06",10,"fine roots","5_10","fine roots 10cm","DS06-fine roots 10cm","DS",1311.835109,0.009799442,-14.18273639,0.319213321,392.699,5,"fine roots",0.092
"t4","DS06",10,"rhizomes","5_10","rhizomes 10cm","DS06-rhizomes 10cm","DS",680.1930646,0.007187005,-15.01637939,0.320512812,392.699,5,"rhizomes",1.918
"t4","DS06",15,"coarse roots","10_15","coarse roots 15cm","DS06-coarse roots 15cm","DS",1716.476464,0.011259698,-14.71924137,0.279101737,392.699,10,"coarse roots",0.07
"t4","DS06",15,"dead biomass","10_15","dead biomass 15cm","DS06-dead biomass 15cm","DS",13.34864509,0.00714006,-13.30932359,0.385628578,392.699,10,"dead biomass",20.584
"t4","DS06",15,"fine roots","10_15","fine roots 15cm","DS06-fine roots 15cm","DS",728.3392577,0.008293593,-13.65484262,0.355930558,392.699,10,"fine roots",0.11
"t4","DS06",15,"rhizomes","10_15","rhizomes 15cm","DS06-rhizomes 15cm","DS",21.45718131,0.006191836,-14.00509435,0.321744564,392.699,10,"rhizomes",0.278
"t4","DS06",20,"coarse roots","15_20","coarse roots 20cm","DS06-coarse roots 20cm","DS",6.903133464,0.006203976,-13.42254191,0.274403774,392.699,15,"coarse roots",0.048
"t4","DS06",20,"dead biomass","15_20","dead biomass 20cm","DS06-dead biomass 20cm","DS",4.51472289,0.007317895,-13.27788927,0.386742979,392.699,15,"dead biomass",11.486
"t4","DS06",20,"fine roots","15_20","fine roots 20cm","DS06-fine roots 20cm","DS",353.1729592,0.007920805,-13.61482448,0.342749448,392.699,15,"fine roots",0.05
"t4","DS06",30,"coarse roots","20_30","coarse roots 30cm","DS06-coarse roots 30cm","DS",5.732910375,0.005994043,-14.03725762,0.274660035,785.398,20,"coarse roots",0.344
"t4","DS06",30,"dead biomass","20_30","dead biomass 30cm","DS06-dead biomass 30cm","DS",4.306933752,0.008392653,-12.955274,0.308760848,785.398,20,"dead biomass",32.152
"t4","DS06",30,"fine roots","20_30","fine roots 30cm","DS06-fine roots 30cm","DS",47.81043254,0.006070352,-13.49249274,0.321760244,785.398,20,"fine roots",0.072
"t2","DS07",NA,"dead leaf","above","dead leaf","DS07-dead leaf","DS",1385.868702,0.016846463,-15.2870753,0.303611029,NA,NA,"dead leaf",0.0286
"t2","DS07",NA,"decomp layer","above","decomp layer","DS07-decomp layer","DS",458.5244958,0.010696253,-16.10561149,0.255921654,NA,NA,"decomp layer",0.5429
"t2","DS07",NA,"leaf 1","above","leaf 1","DS07-leaf 1","DS",6939.828177,0.023578052,-15.58202781,0.349830658,NA,NA,"leaf",0.0386
"t2","DS07",NA,"leaf 2","above","leaf 2","DS07-leaf 2","DS",4823.307651,0.024101058,-16.01218713,0.35192207,NA,NA,"leaf",0.0814
"t2","DS07",NA,"leaf 3","above","leaf 3","DS07-leaf 3","DS",3770.366041,0.023445884,-16.14721272,0.391085958,NA,NA,"leaf",0.0922
"t2","DS07",NA,"leaf 4","above","leaf 4","DS07-leaf 4","DS",2767.777833,0.022272802,-15.97765531,0.363698167,NA,NA,"leaf",0.0972
"t2","DS07",NA,"leaf 5","above","leaf 5","DS07-leaf 5","DS",2480.075804,0.022902155,-15.93797902,0.386286315,NA,NA,"leaf",0.0848
"t2","DS07",NA,"leaf 6","above","leaf 6","DS07-leaf 6","DS",2453.753436,0.022946461,-15.88999406,0.385883031,NA,NA,"leaf",0.0674
"t2","DS07",NA,"leaf 7","above","leaf 7","DS07-leaf 7","DS",2019.317635,0.023713445,-15.95770946,0.351935588,NA,NA,"leaf",0.0397
"t2","DS07",NA,"leaf 8","above","leaf 8","DS07-leaf 8","DS",NA,NA,NA,NA,NA,NA,"leaf",0.0075
"t2","DS07",NA,"microbe mat","above","microbe mat","DS07-microbe mat","DS",346.5877581,0.015929605,-18.73598301,0.187375816,NA,NA,"microbe mat",1.3226
"t2","DS07",NA,"standing dead","above","standing dead","DS07-standing dead","DS",38.41437252,0.010542349,-15.38347619,0.365346633,NA,NA,"standing dead",2.091
"t2","DS07",NA,"stems","above","stems","DS07-stems","DS",3088.410064,0.011113324,-15.30893843,0.379231786,NA,NA,"stems",1.1864
"t2","DS07",2,"belowground stems","0_2","belowground stems","DS07-belowground stems","DS",1847.850777,0.01103,-15.09414631,0.3475792,157.08,0,"stems",0.0697
"t2","DS07",2,"dead biomass","0_2","dead biomass 2cm","DS07-dead biomass 2cm","DS",167.113726,0.012675631,-15.78922707,0.335165861,157.08,0,"dead biomass",3.04
"t2","DS07",2,"fine roots","0_2","fine roots 2cm","DS07-fine roots 2cm","DS",4384.638604,0.014638582,-13.97314873,0.12463572,157.08,0,"fine roots",0.0242
"t2","DS07",2,"rhizomes","0_2","rhizomes 2cm","DS07-rhizomes 2cm","DS",1418.439237,0.00797,-15.07945493,0.330926489,157.08,0,"rhizomes",0.5894
"t2","DS07",5,"coarse roots","2_5","coarse roots 5cm","DS07-coarse roots 5cm","DS",1717.338392,0.00879,-14.80169373,0.338746296,235.619,2,"coarse roots",0.2314
"t2","DS07",5,"dead biomass","2_5","dead biomass 5cm","DS07-dead biomass 5cm","DS",902.5164046,0.00842577,-14.72738268,0.336302679,235.619,2,"dead biomass",13.312
