"pot","DEA","IV","mcf","bd_gcm3"
"DS02",18.3,5.43,0.179953255,0.130186197
"DS07",46.72,24.3,0.19602815,0.103560212
"DS12",11.34,2,0.184474307,0.145281725
"SA02",7.63,3.06,0.193997856,0.10693175
"SA07",20.25,2.67,0.17291987,0.088210036
"SA12",26.77,1.9,0.194962457,0.120866084
